State;pollster;end_date;method;source;affiliation;survey_houses;sponsors;questions;VoterStats;VoterStatsNum;Candidate1;Percent1;Candidate2;Percent2;Candidate3;Percent3;Candidate4;Percent4;Candidate5;Percent5;Candidate6;Percent6;Candidate7;Percent7;Candidate8;Percent8;Candidate9;Percent9
NH;Suffolk;2012-01-09;Live Phone;http://www.suffolk.edu/research/1450.html;None;|Suffolk University||N/A|;;2012 New Hampshire GOP Primary;Likely Voters - Republican;500;Romney;37;Gingrich;9;Huntsman;16;Paul;18;Perry;1;Santorum;11;Undecided;7;;;;
NH;ARG;2012-01-09;Live Phone;http://americanresearchgroup.com/pres2012/primary/rep/nh/;None;|American Research Group||N/A|;;2012 New Hampshire GOP Primary;Likely Voters;600;Romney;37;Gingrich;10;Huntsman;18;Paul;17;Perry;1;Santorum;11;Undecided;4;;;;
NH;PPP (D);2012-01-08;Automated Phone;http://www.publicpolicypolling.com/main/2012/01/romney-holding-steady-in-nh.html#more;Dem;|Public Policy Polling (D)||Dem|;;2012 New Hampshire GOP Primary;Likely Voters - Republican;1771;Romney;35;Gingrich;12;Huntsman;16;Paul;18;Perry;1;Santorum;11;Other;7;;;;
NH;UNH/WMUR;2012-01-08;Live Phone;http://www.unh.edu/survey-center/news/pdf/primary2012_primary010812.pdf;None;|University of New Hampshire||N/A|;|WMUR||N/A|;2012 New Hampshire GOP Primary;Likely Voters - Republican;461;Romney;41;Bachmann;1;Gingrich;8;Huntsman;11;Johnson;1;Paul;17;Perry;1;Santorum;11;Undecided;8
NH;Suffolk;2012-01-07;Live Phone;http://www.suffolk.edu/research/1450.html;None;|Suffolk University||N/A|;;2012 New Hampshire GOP Primary;Likely Voters - Republican;500;Romney;35;Gingrich;9;Huntsman;11;Paul;20;Perry;1;Santorum;8;Undecided;15;;;;
NH;ARG;2012-01-07;Live Phone;http://americanresearchgroup.com/pres2012/primary/rep/nh/;None;|American Research Group||N/A|;;2012 New Hampshire GOP Primary;Likely Voters;600;Romney;40;Gingrich;8;Huntsman;17;Paul;16;Perry;1;Santorum;12;Undecided;4;;;;
NH;NBC/Marist;2012-01-05;Live Phone;http://firstread.msnbc.msn.com/_news/2012/01/06/10015979-nbcmarist-poll-romney-has-20-point-lead-in-nh-santorum-gets-iowa-bounce;None;|Marist College||N/A|;|NBC News||N/A|;2012 New Hampshire GOP Primary;Likely Voters - Republican;711;Romney;42;Gingrich;9;Huntsman;9;Paul;22;Perry;1;Santorum;13;Undecided;5;;;;
NH;UNH/WMUR;2012-01-05;Live Phone;http://www.unh.edu/survey-center/news/pdf/primary2012_primary010612.pdf;None;|University of New Hampshire||N/A|;|WMUR||N/A|;2012 New Hampshire GOP Primary;Likely Voters - Republican;318;Romney;43;Gingrich;9;Huntsman;7;Paul;18;Santorum;11;Undecided;7;;;;;;
NH;Rasmussen;2012-01-05;Automated Phone;http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/new_hampshire/election_2012_new_hampshire_republican_primary;None;|Rasmussen Reports||N/A|;2012 New Hampshire GOP Primary;2012-new-hampshire-gop-primary;Likely Voters - Republican;750;Romney;42;Gingrich;8;Huntsman;12;Paul;18;Perry;1;Santorum;13;Other;1;Undecided;6;;
NC;PPP (D);2012-04-07;Automated Phone;http://www.publicpolicypolling.com/pdf/2011/PPP_Release_NC_410.pdf;Dem;|Public Policy Polling (D)||Dem|;2012 North Carolina GOP Primary;2012-north-carolina-gop-primary;Likely Voters - Republican;461;Romney;34;Gingrich;17;Paul;11;Santorum;30;Undecided;8;;;;;;;;
NC;High Point University;2012-03-29;Live Phone;http://www2.highpoint.edu/articles/show.php?id=2857;None;|High Point University||N/A|;2012 North Carolina GOP Primary;2012-north-carolina-gop-primary;Likely Voters - Republican;239;Romney;31;Gingrich;12;Paul;15;Santorum;25;Undecided;18;;;;;;;;
NC;PPP (D);2012-03-25;Automated Phone;http://www.publicpolicypolling.com/pdf/2011/PPP_Release_NC_020912.pdf;Dem;|Public Policy Polling (D)||Dem|;2012 North Carolina GOP Primary;2012-north-carolina-gop-primary;Registered Voters;561;Romney;30;Gingrich;19;Paul;13;Santorum;30;;;;;;;;;;
NC;High Point University;2012-02-09;Live Phone;http://acme.highpoint.edu/~mkifer/src/11memo.pdf;None;|High Point University||N/A|;2012 North Carolina GOP Primary;2012-north-carolina-gop-primary;Adults;250;Romney;30;Gingrich;19;Paul;11;Santorum;13;;;;;;;;;;
NC;PPP (D);2012-03-01;Automated Phone;http://www.publicpolicypolling.com/pdf/2011/PPP_Release_NC_020912.pdf;Dem;|Public Policy Polling (D)||Dem|;2012 North Carolina GOP Primary;2012-north-carolina-gop-primary;Registered Voters;411;Romney;25;Gingrich;23;Paul;8;Santorum;31;Undecided;13;;;;;;;;
NC;SurveyUSA;2012-03-20;IVR/Online;http://www.surveyusa.com/client/PollReport.aspx?g=72c6ea8c-1b3b-4a8e-b753-8000c5d82d24;None;|SurveyUSA||N/A|;2012 North Carolina GOP Primary;2012-north-carolina-gop-primary;Likely Voters;403;Romney;26;Gingrich;18;Paul;10;Santorum;34;Undecided;11;;;;;;;;
OH;Merriman;2012-03-04;Automated Phone;http://www.civilbeat.com/articles/2012/03/05/15083-merriman-poll-finds-romney-in-front-in-ohio/;None;|Merriman River Group||N/A|;2012 Ohio GOP Primary;2012-ohio-gop-primary;Likely Voters - Republican;832;Romney;38;Gingrich;18;Paul;8;Santorum;33;Undecided;1;;;;;;;;
OH;CNN;2012-03-04;Live Phone;http://i2.cdn.turner.com/cnn/2010/images/10/20/topstate7.pdf;None;|Opinion Research Corporation||N/A|;|CNN||N/A|;2012 Ohio GOP Primary;Likely Voters - Republican;546;Romney;32;Gingrich;14;Paul;11;Santorum;32;Undecided;8;;;;;;;;
OH;Suffolk;2012-03-04;Live Phone;http://www.suffolk.edu/50649.html;None;|Suffolk University||N/A|;2012 Ohio GOP Primary;2012-ohio-gop-primary;Likely Voters;500;Romney;33;Gingrich;16;Paul;8;Santorum;37;Undecided;6;;;;;;;;
OH;ARG;2012-03-04;Live Phone;http://americanresearchgroup.com/pres2012/primary/rep/oh/;None;|American Research Group||N/A|;2012 Ohio GOP Primary;2012-ohio-gop-primary;Likely Voters - Republican;600;Romney;35;Gingrich;18;Paul;13;Santorum;28;Other;1;Undecided;5;;;;;;
